politc_id,content,name
10836,繼續推動環島高速路網。,傅崐萁
10225,繼續爭取調高育兒津貼、托育補助金額,何欣純
10235,繼續力拚捷運進屯區，藍線延伸、橘線、環狀線,何欣純
9959,籌設岡山國際棒球村，春訓基地帶動觀光商機,邱志偉
9648,籌組立院連線，成立制度改革聯盟。,羅智強
11185,寶高智慧園區1期,羅明才
9531,嚴懲詐騙、提高刑責，保護民眾財產安全,張斯綱
10502,嚴謹代孕法制▶ 官方公益媒合，委託人與代孕者應權益並重,台灣綠黨
9555,嚴審預算，檢討稅制,游淑慧
11748,嚴禁黨政黑手介入公共媒體，支持內容產業、獎勵優質作品,台灣民眾黨
9048,嚴打黑金槍毒詐、強化犯罪偵查能量,台灣民眾黨
9539,關渡平原解除管制，還利於民,張斯綱
11739,"關閉炒房制度後門，重建服務實體經濟的金融
",台灣民眾黨
11044,"鏈結東區雄厚教育、工商底蘊與南關線綠能科技發展潛力，讓串連東區東門路、南關線中
山路的 182 線，成為南臺灣最亮眼的新廊帶。",王定宇
11036,"藝文展演、運動賽事重鎮在東區：協助市府規劃副都心場館開發計畫，爭取引進國內外音樂、運動展演賽事
",林俊憲
10817,穩定農田水源供應、健全農村道路、電力、通訊與網路設施，吸引年青人留鄉生活。,張美慧
10637,穩定教師待遇與福利,徐欣瑩
9587,懷孕到6歲一起顧，從經濟補助到育兒資源全面到位。,李彥秀
9581,鬆綁都市十畫，重塑老舊工業區，讓内湖南港成為台北新都心。,李彥秀
10007,離島基本法，發展會更好,陳玉珍
10138,雙語教育向下延伸至學齡前,柯美蘭
9856,醫療轉診制度化,曹爾凱
9688,醫療照護永續： 合理健保給付制度， 改善醫療人員待遇。,賴信全
9701,醫療保健投資的GDP占比提高到8%,蔡壁如
9022,醫療大麻合法，癌症用藥新選擇：提高CBD產品中THC容許值，使其符合國際標準，為癌症及其他適應症患者提供更多治療選擇,陳韋安
10961,醫療｜科技升級：醫護人員工作環境改善、空間軟硬體設施升級,黃建賓
10960,醫療｜科技升級：保障生命安全的首要防線。,黃建賓
10962,醫療｜科技升級：民眾需求度高的專科引入，例如眼科、皮膚科。,黃建賓
9062,轉型正義：減少國營事業持股，下放民間鼓勵民間投資,甘乃迪
9850,豐富水源 優化水質,曾尹儷
9454,舊城新造、公托公辦、社會安全網、弱勢扶助通、文化休閒全面發展,紀文清
11189,職場新鮮人2年50萬意外險,羅明才
9459,翻轉中區、精緻西區、加速建設東南區,紀文清
10791,簡化農業天然災害災損提提報作業,邱良閱
10261,簡化創業貸款程序，提高創業貸歋額度,莊競程
9646,簡化並加速申請移工照護的程序，提升移工技能，以確保照護品質,羅智強
10483,簡化（社會福利）各類補助的申請程序,吳音寧
10698,擺脫行人地獄，爭取道路平權,余筱菁
9963,擴增公共化幼兒園，照護品質從嚴把關，減輕家長照顧負擔,邱志偉
11096,擴建嘉46線延伸段連接長庚醫療院區,蔡易餘
11623,擴大AI與城市治理帶動生活產業發展,黃捷
11241,"擴大輔導觀光工廠結合產業體驗。
",陳冠廷
11576,擴大農民保險、導入AI科技、 冷鏈技術，增加農漁民收入。,林岱樺
10418,擴大路網維護能量，順暢六鄉鎮交通，帶動地方觀光經濟發展。,陳秀寳
10687,擴大補助範圍，增加補助金額，减輕家庭照顧的經濟負擔。,詹紀緹
11601,擴大經費挹注，加強大連、長明、後驛、三鳳中街等商圈觀光行銷，建置工商服務機能特區。,李昆澤
11368,擴大節能、儲能及智慧電網資源，提高調度效益，確保供電充足穩定,邱若華
10226,擴大提供公共托育托嬰，提高幼教品質與教保服務,何欣純
9952,擴大設置定點臨托，育兒工作兩端從容。,邱志偉
10203,擴大產業量能，協助在地就業,江啟臣
11585,擴大推行老幼共園兼顧長照幼教。,林岱樺
11534,擴大接管增自來水普及率,顏寬恒
10230,擴大租屋補貼、推動社會住宅安心入住,何欣純
10411,擴大青年優惠貸款並持續辦理租金補貼及社宅政策，打造青年宜居環境。,陳秀寳
11634,擴大長照設施服務量能,黃捷
